Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.473,2.311,-1.1078940962975032,2.666,0.2795,0.2771,0.2234,0.1855,0.2539,1.138,1.111,0.023,3.179,4.712,0.7361254919752079
1.46,2.377,-1.0784447959200134,2.92,0.2527,0.3064,0.02563,0.1965,0.3027,1.213,1.027,0.686,3.214,5.463,0.8073737670066654
1.552,2.164,-1.204656083252112,2.745,0.282,0.21,0.1721,0.1929,0.21,1.221,1.058,0.571,3.064,5.332,0.7644453263956574
1.605,2.228,-1.1331363537639227,2.834,0.2917,0.3613,0.2087,0.1294,0.2734,1.144,1.062,0.126,3.149,4.829,0.7608636371863398
1.534,2.114,-0.9985109806096841,2.976,0.21,0.2502,0.2258,0.177,0.2039,1.254,1.112,0.926,3.309,5.734,0.8320324182825263
1.796,2.262,-1.1070526877152889,2.888,0.2966,0.1477,0.1624,0.282,0.2039,1.172,1.03,0.155,3.18,4.861,0.7740456093570591
1.566,2.323,-0.8638856074554458,2.711,0.2417,0.05371,0.2112,-0.02686,0.2197,1.158,0.9924,0.083,3.469,4.78,0.7224136993787127
1.425,2.152,-1.0170219694183922,2.781,0.2991,0.2075,0.1038,0.1147,0.2698,1.271,1.115,0.862,3.287,5.662,0.7986565025484672
1.595,2.271,-0.9867312604586884,2.743,0.1733,0.1965,0.1685,0.05859,0.2051,1.29,1.033,0.405,3.323,5.145,0.7626882282951093
1.628,2.211,-1.1104183220441448,2.71,0.08423,0.1892,0.2783,0.1685,0.3491,1.155,1.008,0.819,3.176,5.613,0.7908259731629877
1.583,2.253,-1.024594646658318,2.854,0.1489,0.1099,0.2283,0.07324,0.2173,1.135,1.112,0.762,3.278,5.549,0.7876704461118069
1.454,2.277,-0.9875726690409024,2.866,0.3015,0.2832,0.2124,0.1562,0.2637,1.14,1.229,0.215,3.322,4.929,0.7842022775799248
1.617,2.183,-1.0683478929334456,2.71,0.1221,0.2563,0.01587,0.1404,0.2856,1.255,1.033,0.61,3.226,5.376,0.7633268422555459
1.482,2.344,-1.1062112791330752,2.894,0.2344,0.1782,0.2307,0.2051,0.2637,0.9558,1.086,0.416,3.181,5.157,0.7653073934055771
