,CUPS,CALORIES,CARBO,FAT,POTASS,PROTEIN,SODIUM,VITAMINS,WEIGHT,SHELF,FIBER,SUGARS,config1,config2,config3
0,0.33,70,5.0,1,280,4,130,25,1.0,3,10.0,6,2,1,0
1,1.0,120,8.0,5,135,3,15,0,1.0,3,2.0,8,1,2,1
2,0.33,70,7.0,1,320,4,260,25,1.0,3,9.0,5,2,1,0
3,0.5,50,8.0,0,330,4,140,25,1.0,3,14.0,0,2,1,0
4,0.75,110,14.0,2,-1,2,200,25,1.0,3,1.0,8,0,3,2
5,0.75,110,10.5,2,70,2,180,25,1.0,1,1.5,10,0,0,2
6,1.0,110,11.0,0,30,2,125,25,1.0,2,1.0,14,0,4,2
7,0.75,130,18.0,2,100,3,210,25,1.33,3,2.0,8,3,0,2
8,0.67,90,15.0,1,125,2,200,25,1.0,1,4.0,6,3,0,2
9,0.67,90,13.0,0,190,3,210,25,1.0,3,5.0,5,2,1,0
10,0.75,120,12.0,2,35,1,220,25,1.0,2,0.0,12,4,3,2
11,1.25,110,17.0,2,105,6,290,25,1.0,1,2.0,1,4,3,2
12,0.75,120,13.0,3,45,1,210,25,1.0,2,0.0,9,0,3,2
13,0.5,110,13.0,2,105,3,140,25,1.0,3,2.0,7,3,0,2
14,1.0,110,12.0,1,55,1,180,25,1.0,2,0.0,13,0,0,2
15,1.0,110,22.0,0,25,2,280,25,1.0,1,0.0,3,4,3,2
16,1.0,100,21.0,0,35,2,290,25,1.0,1,1.0,2,4,3,2
17,1.0,110,13.0,0,20,1,90,25,1.0,2,1.0,12,0,4,1
18,1.0,110,12.0,1,65,1,180,25,1.0,2,0.0,13,0,0,2
19,0.5,110,10.0,3,160,3,140,25,1.0,3,4.0,7,3,0,0
20,1.0,100,21.0,0,-1,3,80,0,1.0,2,1.0,0,0,4,1
21,1.0,110,21.0,0,30,2,220,25,1.0,3,1.0,3,4,3,2
22,0.75,100,11.0,1,120,2,140,25,1.0,3,2.0,10,3,0,2
23,0.75,100,18.0,0,80,2,190,25,1.0,3,1.0,5,0,0,2
24,1.0,110,11.0,1,30,2,125,25,1.0,2,1.0,13,0,4,2
25,0.75,110,14.0,0,25,1,200,25,1.0,1,1.0,11,0,3,2
26,0.8,100,14.0,0,100,3,0,25,1.0,2,3.0,7,1,2,1
27,0.67,120,12.0,2,200,3,160,25,1.25,3,5.0,10,2,1,0
28,0.67,120,14.0,0,190,3,240,25,1.33,3,5.0,12,2,1,0
29,0.75,110,13.0,1,25,1,135,25,1.0,2,0.0,12,0,4,2
30,0.88,100,11.0,0,40,2,45,25,1.0,1,0.0,15,1,4,1
31,0.75,110,15.0,1,45,1,280,25,1.0,2,0.0,9,4,3,2
32,0.88,100,15.0,1,85,3,140,25,1.0,3,3.0,5,3,0,2
33,0.25,110,17.0,0,90,3,170,25,1.0,3,3.0,3,3,0,2
34,0.33,120,13.0,3,100,3,75,25,1.0,3,3.0,4,1,4,1
35,1.0,120,12.0,2,45,1,220,25,1.0,2,1.0,11,4,3,2
36,0.75,110,11.5,1,90,3,250,25,1.0,1,1.5,10,4,3,2
37,1.33,110,14.0,0,35,1,180,25,1.0,1,0.0,11,0,3,2
38,1.0,110,17.0,1,60,2,170,100,1.0,3,1.0,6,0,0,2
39,0.75,140,20.0,1,95,3,170,100,1.3,3,2.0,9,3,0,2
40,1.5,110,21.0,1,40,2,260,25,1.0,2,0.0,3,4,3,2
41,0.67,100,12.0,2,95,4,150,25,1.0,2,2.0,6,3,0,2
42,1.0,110,12.0,1,55,2,180,25,1.0,2,0.0,12,0,0,2
43,1.0,100,16.0,1,95,4,0,25,1.0,2,0.0,3,1,2,1
44,1.0,150,16.0,3,170,4,95,25,1.0,3,3.0,11,3,0,0
45,1.0,150,16.0,3,170,4,150,25,1.0,3,3.0,11,3,0,0
46,0.67,160,17.0,2,160,3,150,25,1.5,3,3.0,13,3,0,0
47,1.0,100,15.0,1,90,2,220,25,1.0,1,2.0,6,4,3,2
48,0.67,120,15.0,1,40,2,190,25,1.0,2,0.0,9,0,3,2
49,0.67,140,21.0,2,130,3,220,25,1.33,3,3.0,7,3,0,2
50,1.0,90,18.0,0,90,3,170,25,1.0,3,3.0,2,3,0,2
51,0.5,130,13.5,2,120,3,170,25,1.25,3,1.5,10,3,0,2
52,0.67,120,11.0,1,260,3,200,25,1.33,3,6.0,14,2,1,0
53,1.0,100,20.0,0,45,3,320,100,1.0,3,1.0,3,4,3,2
54,1.0,50,13.0,0,15,1,0,0,0.5,3,0.0,0,1,2,1
55,1.0,50,10.0,0,50,2,0,0,0.5,3,1.0,0,1,2,1
56,0.5,100,14.0,1,110,4,135,25,1.0,3,2.0,6,3,0,2
57,0.67,100,-1.0,2,110,5,0,0,1.0,1,2.7,-1,1,2,1
58,0.75,120,14.0,1,240,3,210,25,1.33,2,5.0,12,2,1,0
59,0.5,100,10.5,2,140,3,140,25,1.0,3,2.5,8,3,0,0
60,0.5,90,15.0,0,110,2,0,25,1.0,3,2.0,6,1,2,1
61,1.13,110,23.0,0,30,1,240,25,1.0,1,0.0,2,4,3,2
62,1.0,110,22.0,0,35,2,290,25,1.0,1,0.0,3,4,3,2
63,1.0,80,16.0,0,95,2,0,0,0.83,1,3.0,0,1,2,1
64,0.67,90,19.0,0,140,3,0,0,1.0,1,4.0,0,1,2,1
65,0.67,90,20.0,0,120,3,0,0,1.0,1,3.0,0,1,2,1
66,0.75,110,9.0,1,40,2,70,25,1.0,2,1.0,15,1,4,1
67,1.0,110,16.0,0,55,6,230,25,1.0,1,1.0,3,4,3,2
68,1.0,90,15.0,0,90,2,15,25,1.0,2,3.0,5,1,2,1
69,1.0,110,21.0,1,35,2,200,100,1.0,3,0.0,3,0,3,2
70,1.0,140,15.0,1,230,3,190,100,1.5,3,4.0,14,2,1,0
71,1.0,100,16.0,1,110,3,200,100,1.0,3,3.0,3,3,0,2
72,0.75,110,21.0,1,60,2,250,25,1.0,3,0.0,3,4,3,2
73,1.0,110,13.0,1,25,1,140,25,1.0,2,0.0,12,0,4,2
74,0.67,100,17.0,1,115,3,230,25,1.0,1,3.0,3,4,0,2
75,1.0,100,17.0,1,110,3,200,25,1.0,1,3.0,3,3,0,2
76,0.75,110,16.0,1,60,2,200,25,1.0,1,1.0,8,0,3,2
