,y,x,kmeans,dbscan1,dbscan2
0,41.14964257,-8.667331088,0,0,0
1,41.15305675,-8.666030446,0,0,0
2,41.15273159,-8.669282052,0,0,0
3,41.15045547,-8.664242064,0,0,0
4,41.15289417,-8.663266582,0,0,0
5,41.15061805,-8.661640779,0,0,0
6,41.14850451,-8.663104002,0,0,0
7,41.14785419,-8.665705286,0,0,0
8,41.15451998,-8.66846915,0,0,0
9,41.15500772,-8.666193027,0,0,0
10,41.1551703,-8.663591743,0,0,0
11,41.15370708,-8.661153039,0,0,0
12,41.15175611,-8.667331088,0,0,0
13,41.15224385,-8.659527236,0,0,0
14,41.15045547,-8.669444632,0,0,0
15,41.14817935,-8.66798141,0,0,0
16,41.1468787,-8.663754323,0,0,0
17,41.14850451,-8.661315619,0,0,0
18,41.15045547,-8.659527236,0,0,0
19,41.20166825,-8.579537749,5,-1,1
20,41.19825407,-8.575635823,5,-1,1
21,41.19240118,-8.574660341,5,-1,1
22,41.18703603,-8.577261626,5,-1,1
23,41.18248378,-8.582301614,5,-1,1
24,41.18410958,-8.589617725,5,-1,1
25,41.18914957,-8.594495133,5,-1,1
26,41.1954902,-8.593519651,5,-1,1
27,41.20053019,-8.589942886,5,-1,1
28,41.20264373,-8.584577737,5,-1,1
29,41.18914957,-8.589617725,5,-1,1
30,41.19500246,-8.588479663,5,-1,1
31,41.19939213,-8.58604096,5,-1,1
32,41.19500246,-8.582789354,5,-1,1
33,41.19679084,-8.579700329,5,-1,1
34,41.18703603,-8.581326132,5,-1,1
35,41.19045021,-8.585715799,5,-1,1
36,41.19158828,-8.57986291,5,-1,1
37,41.18573539,-8.585715799,5,-1,1
38,41.14671612,-8.63042537,3,1,2
39,41.14655354,-8.627661506,3,1,2
40,41.14655354,-8.625060221,3,1,2
41,41.14671612,-8.622133777,3,1,2
42,41.14671612,-8.619369912,3,1,2
43,41.14671612,-8.616280887,3,1,2
44,41.14671612,-8.613842184,3,1,2
45,41.1468787,-8.61140348,3,1,2
46,41.1468787,-8.608151875,3,1,2
47,41.14671612,-8.60506285,1,1,2
48,41.1468787,-8.602624146,1,1,2
49,41.1468787,-8.599372541,1,1,2
50,41.1468787,-8.596120936,1,1,2
51,41.14834193,-8.628962148,3,1,2
52,41.14817935,-8.626035703,3,1,2
53,41.15029289,-8.627661506,3,1,2
54,41.14850451,-8.62408474,3,1,2
55,41.15013031,-8.625385382,3,1,2
56,41.14850451,-8.620833135,3,1,2
57,41.15045547,-8.622946678,3,1,2
58,41.14850451,-8.61758153,3,1,2
59,41.15078063,-8.620345394,3,1,2
60,41.14866709,-8.614817665,3,1,2
61,41.15045547,-8.616768628,3,1,2
62,41.14866709,-8.612378961,3,1,2
63,41.15094321,-8.614492505,3,1,2
64,41.15013031,-8.629775049,3,1,2
65,41.14866709,-8.631563432,3,1,2
66,41.14817935,-8.610102838,3,1,2
67,41.15045547,-8.611240899,3,1,2
68,41.14834193,-8.606688652,3,1,2
69,41.14964257,-8.608964776,3,1,2
70,41.14834193,-8.604249948,1,1,2
71,41.15078063,-8.606526072,3,1,2
72,41.14850451,-8.601648664,1,1,2
73,41.15045547,-8.603274467,1,1,2
74,41.14834193,-8.597909318,1,1,2
75,41.14964257,-8.600022862,1,1,2
76,41.14882967,-8.595795775,1,1,2
77,41.15061805,-8.598234479,1,1,2
78,41.14785419,-8.594495133,1,1,2
79,41.15647094,-8.617093789,3,2,2
80,41.15647094,-8.615305406,3,2,2
81,41.15630836,-8.613191863,3,2,2
82,41.157609,-8.61172864,3,2,2
83,41.15825932,-8.614004764,3,2,2
84,41.15825932,-8.615955727,3,2,2
85,41.15809674,-8.61790669,3,2,2
86,41.15988513,-8.615142826,3,2,2
87,41.15972255,-8.612866702,3,2,2
88,41.15988513,-8.617418949,3,2,2
89,41.16086061,-8.614167344,3,2,2
90,41.16118577,-8.616443468,3,2,2
91,41.15061805,-8.596120936,1,1,2
92,41.15029289,-8.593844812,1,1,2
93,41.14834193,-8.59238159,1,1,2
94,41.1468787,-8.593519651,1,1,2
95,41.14704129,-8.591406108,1,1,2
96,41.15013031,-8.591568688,1,1,2
97,41.14866709,-8.590268046,1,1,2
98,41.15061805,-8.589617725,1,1,2
99,41.14899225,-8.587829342,1,1,2
100,41.14720387,-8.589617725,1,1,2
101,41.14736645,-8.587504182,1,1,2
102,41.15094321,-8.587666762,1,1,2
103,41.14834193,-8.585715799,1,1,2
104,41.15045547,-8.585553219,1,1,2
105,41.16590059,-8.682776213,6,3,3
106,41.16801414,-8.684239435,6,3,3
107,41.1699651,-8.685865238,6,3,3
108,41.17256639,-8.686352979,6,3,3
109,41.17516767,-8.685865238,6,3,3
110,41.17711863,-8.684239435,6,3,3
111,41.17874444,-8.682125892,6,3,3
112,41.18004508,-8.680012349,6,3,3
113,41.1806954,-8.677898805,6,3,3
114,41.18118314,-8.675460101,6,3,3
115,41.18118314,-8.672696237,6,3,3
116,41.18102056,-8.670420113,6,3,3
117,41.1806954,-8.66798141,6,3,3
118,41.1798825,-8.665542706,6,3,3
119,41.17890702,-8.662941422,0,3,3
120,41.17695605,-8.663104002,0,3,3
121,41.17760637,-8.665054965,0,3,3
122,41.17858186,-8.667656249,6,3,3
123,41.17939476,-8.670257533,6,3,3
124,41.17939476,-8.671720755,6,3,3
125,41.17939476,-8.67432204,6,3,3
126,41.17923218,-8.676598163,6,3,3
127,41.17890702,-8.678549126,6,3,3
128,41.17793153,-8.680337509,6,3,3
129,41.17679347,-8.681475571,6,3,3
130,41.17565541,-8.682938793,6,3,3
131,41.17370445,-8.684402016,6,3,3
132,41.1715909,-8.684239435,6,3,3
133,41.16963994,-8.683589114,6,3,3
134,41.16801414,-8.682125892,6,3,3
135,41.16687608,-8.680337509,6,3,3
136,41.16638834,-8.678386546,6,3,3
137,41.16638834,-8.676273003,6,3,3
138,41.16573801,-8.673834299,6,3,3
139,41.16476253,-8.671883336,6,3,3
140,41.16346189,-8.673346558,6,3,3
141,41.16443737,-8.675134941,6,3,3
142,41.16476253,-8.677573645,6,3,3
143,41.16492511,-8.679524608,6,3,3
144,41.16476253,-8.681963312,6,3,3
145,41.16573801,-8.684402016,6,3,3
146,41.16720124,-8.685540077,6,3,3
147,41.16866446,-8.6870033,6,3,3
148,41.17094058,-8.68749104,6,3,3
149,41.17272897,-8.687653621,6,3,3
150,41.17500509,-8.687653621,6,3,3
151,41.17695605,-8.686515559,6,3,3
152,41.17841927,-8.684889756,6,3,3
153,41.1798825,-8.683263954,6,3,3
154,41.18118314,-8.681475571,6,3,3
155,41.18183346,-8.679687188,6,3,3
156,41.18248378,-8.677085904,6,3,3
157,41.18280894,-8.67480978,6,3,3
158,41.18280894,-8.672533657,6,3,3
159,41.18248378,-8.670907854,6,3,3
160,41.18215862,-8.66830657,6,3,3
161,41.18167088,-8.665867866,6,3,3
162,41.1806954,-8.663754323,0,3,3
163,41.17923218,-8.666843348,6,3,3
164,41.17256639,-8.675460101,6,4,3
165,41.17191606,-8.674159459,6,4,3
166,41.17094058,-8.672533657,6,4,3
167,41.16931478,-8.670907854,6,4,3
168,41.16817672,-8.669119471,0,4,3
169,41.16736382,-8.667493669,0,4,3
170,41.1667135,-8.665217545,0,4,3
171,41.1667135,-8.662941422,0,4,3
172,41.16703866,-8.660502718,0,4,3
173,41.17321671,-8.6746472,6,4,3
174,41.17305413,-8.672858817,6,4,3
175,41.17175348,-8.672045916,6,4,3
176,41.170778,-8.670094953,6,4,3
177,41.16963994,-8.66830657,0,4,3
178,41.16850188,-8.666843348,0,4,3
179,41.16850188,-8.664892385,0,4,3
180,41.16866446,-8.663429162,0,4,3
181,41.16866446,-8.661640779,0,4,3
182,41.16817672,-8.659364656,0,4,3
183,41.16980252,-8.665542706,0,4,3
184,41.170778,-8.667656249,0,4,3
185,41.1715909,-8.668956891,6,4,3
186,41.17012768,-8.663916903,0,4,3
187,41.17012768,-8.661640779,0,4,3
188,41.17012768,-8.659202076,0,4,3
189,41.16882704,-8.658064014,0,4,3
190,41.1715909,-8.660665298,0,4,3
191,41.170778,-8.656925952,0,4,3
192,41.17175348,-8.658714335,0,4,3
193,41.17224123,-8.657251112,0,4,3
194,41.17321671,-8.659039495,0,4,3
195,41.1715909,-8.65578789,0,4,3
196,41.17321671,-8.654812409,0,4,3
197,41.17386703,-8.656600791,0,4,3
198,41.17484251,-8.658064014,0,4,3
199,41.17549283,-8.65595047,0,4,3
200,41.17500509,-8.654324668,0,4,3
201,41.17711863,-8.654812409,0,4,3
202,41.17565541,-8.652861445,0,4,3
203,41.17744379,-8.653349186,0,4,3
204,41.17646831,-8.651398223,0,4,3
205,41.17841927,-8.652048544,0,4,3
